threshold,exit1_rate,exit2_rate
0.0,100.0,100.0
0.01,100.0,100.0
0.02,100.0,100.0
0.03,100.0,100.0
0.04,100.0,100.0
0.05,100.0,100.0
0.06,100.0,100.0
0.07,100.0,100.0
0.08,100.0,100.0
0.09,100.0,100.0
0.1,100.0,100.0
0.11,100.0,100.0
0.12,100.0,100.0
0.13,100.0,100.0
0.14,100.0,100.0
0.15,100.0,100.0
0.16,100.0,100.0
0.17,100.0,100.0
0.18,100.0,100.0
0.19,100.0,100.0
0.2,100.0,100.0
0.21,100.0,100.0
0.22,100.0,100.0
0.23,100.0,100.0
0.24,100.0,100.0
0.25,100.0,100.0
0.26,100.0,100.0
0.27,100.0,99.99
0.28,99.99,99.99
0.29,99.99,99.99
0.3,99.99,99.98
0.31,99.99,99.98
0.32,99.99,99.97
0.33,99.98,99.96
0.34,99.98,99.96
0.35000000000000003,99.98,99.94
0.36,99.98,99.93
0.37,99.97,99.91
0.38,99.91,99.85
0.39,99.87,99.83
0.4,99.84,99.82
0.41000000000000003,99.8,99.79
0.42,99.78,99.74
0.43,99.76,99.73
0.44,99.72,99.69
0.45,99.67,99.65
0.46,99.57,99.62
0.47000000000000003,99.54,99.54
0.48,99.49,99.46
0.49,99.4,99.35
0.5,99.28,99.19
0.51,99.12,98.96
0.52,99.0,98.76
0.53,98.71,98.55
0.54,98.53,98.4
0.55,98.29,98.14
0.56,98.08,97.87
0.5700000000000001,97.91,97.67
0.58,97.66,97.48
0.59,97.57,97.23
0.6,97.44,96.98
0.61,97.29,96.84
0.62,97.14,96.65
0.63,96.94,96.44
0.64,96.75,96.24
0.65,96.49,96.1
0.66,96.2,95.88
0.67,95.95,95.6
0.68,95.78,95.47
0.6900000000000001,95.52,95.19
0.7000000000000001,95.29,95.05
0.71,95.02,94.77
0.72,94.82,94.53
0.73,94.66,94.29
0.74,94.4,94.0
0.75,94.17,93.81
0.76,93.99,93.59
0.77,93.76,93.34
0.78,93.51,93.11
0.79,93.32,92.93
0.8,93.03,92.61
0.81,92.72,92.25
0.8200000000000001,92.41,91.89
0.8300000000000001,92.03,91.59
0.84,91.8,91.34
0.85,91.49,91.02
0.86,91.21,90.64
0.87,90.94,90.26
0.88,90.54,89.85
0.89,90.15,89.42
0.9,89.84,89.02
0.91,89.27,88.6
0.92,88.67,88.04
0.93,88.14,87.59
0.9400000000000001,87.56,86.77
0.9500000000000001,86.79,85.94
0.96,85.98,85.03
0.97,84.98,83.82
0.98,83.33,82.34
0.99,80.78,79.59
1.0,38.85,35.55
