threshold,exit1_accuracy,exit2_accuracy,full_accuracy
0.0,87.82,87.87,87.83
0.01,87.82,87.87,87.83
0.02,87.82,87.87,87.83
0.03,87.82,87.87,87.83
0.04,87.82,87.87,87.83
0.05,87.82,87.87,87.83
0.06,87.82,87.87,87.83
0.07,87.82,87.87,87.83
0.08,87.82,87.87,87.83
0.09,87.82,87.87,87.83
0.1,87.82,87.87,87.83
0.11,87.82,87.87,87.83
0.12,87.82,87.87,87.83
0.13,87.82,87.87,87.83
0.14,87.82,87.87,87.83
0.15,87.82,87.87,87.83
0.16,87.82,87.87,87.83
0.17,87.82,87.87,87.83
0.18,87.82,87.87,87.83
0.19,87.82,87.87,87.83
0.2,87.82,87.87,87.83
0.21,87.82,87.87,87.83
0.22,87.82,87.87,87.83
0.23,87.82,87.87,87.83
0.24,87.82,87.87,87.83
0.25,87.82,87.87,87.83
0.26,87.82,87.87,87.83
0.27,87.82,87.86878687868787,87.83
0.28,87.81878187818782,87.86878687868787,87.83
0.29,87.81878187818782,87.86878687868787,87.83
0.3,87.81878187818782,87.86757351470294,87.83
0.31,87.81878187818782,87.86757351470294,87.83
0.32,87.81878187818782,87.87636290887266,87.83
0.33,87.82756551310263,87.87515006002401,87.83
0.34,87.82756551310263,87.87515006002401,87.83
0.35000000000000003,87.82756551310263,87.89273564138483,87.83
0.36,87.82756551310263,87.90153107175023,87.83
0.37,87.82634790437132,87.91912721449305,87.83
0.38,87.84906415774196,87.95192789183776,87.83
0.39,87.8742365074597,87.95953120304517,87.83
0.4,87.90064102564102,87.96834301743138,87.83
0.41000000000000003,87.92585170340682,87.99478905701974,87.83
0.42,87.94347564642213,88.01884900741929,87.83
0.43,87.96110665597433,88.02767472174872,87.83
0.44,87.99638989169675,88.05296418898585,87.83
0.45,88.0305006521521,88.06823883592574,87.83
0.46,88.03856583308226,88.08472194338486,87.83
0.47000000000000003,88.06509945750452,88.12537673297167,87.83
0.48,88.08925520152779,88.16609692338629,87.83
0.49,88.11871227364185,88.23351786612984,87.83
0.5,88.18493150684931,88.35568101623147,87.83
0.51,88.21630347054077,88.4498787388844,87.83
0.52,88.26262626262626,88.55812069663831,87.83
0.53,88.4003647046905,88.66565195332319,87.83
0.54,88.5212625596265,88.72967479674797,87.83
0.55,88.62549598127988,88.862848991237,87.83
0.56,88.72349102773246,89.0160416879534,87.83
0.5700000000000001,88.82647329179859,89.11641240913279,87.83
0.58,88.97194347737047,89.18752564628642,87.83
0.59,89.033514399918,89.30371284582948,87.83
0.6,89.10098522167488,89.39987626314704,87.83
0.61,89.17668825161887,89.48781495249897,87.83
0.62,89.25262507720815,89.57061562338335,87.83
0.63,89.36455539508975,89.6619659892161,87.83
0.64,89.44702842377261,89.76517040731504,87.83
0.65,89.53259405119701,89.82310093652445,87.83
0.66,89.6881496881497,89.92490613266584,87.83
0.67,89.82803543512246,90.0418410041841,87.83
0.68,89.87262476508666,90.1120770922803,87.83
0.6900000000000001,89.99162479061977,90.17753965752705,87.83
0.7000000000000001,90.06191625564068,90.22619673855866,87.83
0.71,90.24415912439487,90.36614962540888,87.83
0.72,90.35013710187724,90.5003702528298,87.83
0.73,90.4289034439045,90.60345741860219,87.83
0.74,90.55084745762711,90.74468085106383,87.83
0.75,90.64457895295742,90.83253384500587,87.83
0.76,90.76497499734015,90.89646329736082,87.83
0.77,90.84897610921502,90.98992929076495,87.83
0.78,90.87798096460271,91.09655246482654,87.83
0.79,90.96656665237892,91.19767566985904,87.83
0.8,91.14264215844351,91.37242198466689,87.83
0.81,91.26402070750648,91.5230352303523,87.83
0.8200000000000001,91.39703495292717,91.71835890738927,87.83
0.8300000000000001,91.50277083559709,91.844087782509,87.83
0.84,91.56862745098039,91.92029778848259,87.83
0.85,91.67122089845884,92.05669083717864,87.83
0.86,91.84299967108869,92.19991173874669,87.83
0.87,91.95073674950517,92.38865499667627,87.83
0.88,92.12502761210514,92.53199777406789,87.83
0.89,92.2573488630061,92.74211585774995,87.83
0.9,92.33081032947462,92.86677151201977,87.83
0.91,92.59549680743811,93.08126410835214,87.83
0.92,92.88372617570768,93.21899136756019,87.83
0.93,93.07919219423644,93.3554058682498,87.83
0.9400000000000001,93.25034262220191,93.64987899043449,87.83
0.9500000000000001,93.60525406152783,93.94926693041657,87.83
0.96,93.85903698534543,94.2726096671763,87.83
0.97,94.19863497293481,94.63135289906944,87.83
0.98,94.64778591143646,95.12994899198445,87.83
0.99,95.40727902946274,95.81605729362985,87.83
1.0,99.79407979407979,99.77496483825598,87.83
